pH,TDS,Turbidity,Temp,Season,KNN_Status,Recommended_Crop
6.8,1125,1,26,Summer,Normal,Sweet Orange
5.51,2792,23,42,Kharif,Abnormal,No Crops Suitable
8.39,1323,13,26,Rabi,Normal,Jowar
5.91,1445,14,24,Kharif,Normal,Cotton
6.82,2928,23,30,Kharif,Abnormal,No Crops Suitable
6.4,1053,5,24,Rabi,Normal,Chillies
7.26,473,2,28,Kharif,Normal,Groundnut
6.97,808,9,27,Rabi,Normal,Chillies
5.45,2646,49,33,Summer,Abnormal,No Crops Suitable
5.37,1169,5,26,Kharif,Normal,Castor
9.88,1244,39,42,Summer,Abnormal,No Crops Suitable
6.41,1026,29,27,Summer,Abnormal,No Crops Suitable
6.61,1872,21,37,Summer,Abnormal,No Crops Suitable
6.66,2808,48,35,Rabi,Abnormal,No Crops Suitable
6.27,361,0,20,Rabi,Normal,Onion
8.88,2492,0,28,Kharif,Abnormal,No Crops Suitable
7.02,202,1,21,Rabi,Normal,Bengal Gram
7.45,1061,2,26,Summer,Normal,Sweet Orange
7.39,552,4,31,Kharif,Normal,Cotton
6.89,863,13,26,Rabi,Normal,Jowar
7.01,656,0,18,Kharif,Normal,Maize
5.55,843,47,15,Summer,Abnormal,No Crops Suitable
5.66,571,22,29,Summer,Abnormal,No Crops Suitable
5.35,1066,46,19,Rabi,Abnormal,No Crops Suitable
8.5,1610,10,21,Kharif,Abnormal,No Crops Suitable
6.48,2663,43,45,Kharif,Abnormal,No Crops Suitable
7.34,2631,33,43,Kharif,Abnormal,No Crops Suitable
7.1,868,7,25,Summer,Normal,Banana
6.72,1044,1,29,Rabi,Normal,Chillies
6.79,476,10,29,Kharif,Normal,Groundnut
6.98,826,4,29,Summer,Normal,Mango
8.99,2383,22,27,Summer,Abnormal,No Crops Suitable
7.53,2518,3,37,Rabi,Abnormal,No Crops Suitable
6.06,663,5,28,Kharif,Normal,Groundnut
7.54,1574,6,14,Kharif,Abnormal,No Crops Suitable
8.83,638,33,32,Rabi,Abnormal,No Crops Suitable
9.91,1003,5,17,Rabi,Abnormal,No Crops Suitable
7.22,796,8,18,Kharif,Normal,Red Gram
7.38,2147,42,39,Rabi,Abnormal,No Crops Suitable
6.3,679,15,29,Rabi,Normal,Jowar
8.02,453,37,40,Rabi,Abnormal,No Crops Suitable
4.76,895,50,42,Kharif,Abnormal,No Crops Suitable
5.72,457,10,25,Kharif,Normal,Paddy
6.41,1168,0,22,Summer,Normal,Tomato
6.69,591,20,22,Kharif,Normal,Cotton
6.1,1013,19,23,Kharif,Normal,Cotton
5.59,1527,1,13,Rabi,Abnormal,No Crops Suitable
5.79,1492,5,27,Kharif,Abnormal,No Crops Suitable
7.31,2719,22,39,Kharif,Abnormal,No Crops Suitable
6.21,344,2,27,Kharif,Normal,Maize
8.41,1880,24,33,Kharif,Abnormal,No Crops Suitable
6.47,232,2,28,Summer,Normal,Sweet Orange
7.96,2501,44,33,Summer,Abnormal,No Crops Suitable
6.03,1281,16,29,Kharif,Normal,Cotton
5.52,1209,43,16,Kharif,Abnormal,No Crops Suitable
8.85,208,19,11,Rabi,Abnormal,No Crops Suitable
6.94,1434,10,23,Rabi,Normal,Chillies
7.74,359,1,28,Rabi,Normal,Jowar
6.69,776,3,21,Rabi,Normal,Onion
4.73,1849,5,27,Kharif,Abnormal,No Crops Suitable
5.65,820,4,21,Kharif,Normal,Castor
7.38,1232,15,29,Rabi,Normal,Jowar
9.77,442,29,33,Summer,Abnormal,No Crops Suitable
6.0,2956,22,22,Kharif,Abnormal,No Crops Suitable
6.74,2859,9,17,Rabi,Abnormal,No Crops Suitable
6.08,1468,47,31,Rabi,Abnormal,No Crops Suitable
7.06,596,0,18,Kharif,Normal,Red Gram
6.71,309,0,26,Summer,Normal,Sweet Orange
6.76,1054,7,25,Summer,Normal,Banana
7.16,657,0,31,Summer,Normal,Pomegranate
7.76,502,4,22,Kharif,Normal,Red Gram
7.72,1375,6,26,Summer,Normal,Pomegranate
8.65,1419,43,40,Rabi,Abnormal,No Crops Suitable
7.96,313,2,20,Rabi,Normal,Bengal Gram
7.31,441,3,29,Summer,Normal,Mango
8.26,1053,17,13,Rabi,Abnormal,No Crops Suitable
5.44,561,13,44,Rabi,Abnormal,No Crops Suitable
5.11,1658,36,11,Kharif,Abnormal,No Crops Suitable
7.0,898,10,25,Rabi,Normal,Chillies
6.74,1929,31,30,Kharif,Abnormal,No Crops Suitable
5.19,700,47,21,Rabi,Abnormal,No Crops Suitable
6.04,817,5,25,Rabi,Normal,Chillies
7.0,414,5,24,Kharif,Normal,Maize
6.29,2083,34,30,Kharif,Abnormal,No Crops Suitable
9.57,2953,49,41,Kharif,Abnormal,No Crops Suitable
6.17,680,7,26,Kharif,Normal,Maize
4.91,2811,42,23,Kharif,Abnormal,No Crops Suitable
6.74,939,8,28,Summer,Normal,Pomegranate
7.74,720,2,28,Rabi,Normal,Jowar
8.89,2847,41,35,Summer,Abnormal,No Crops Suitable
7.47,2971,15,38,Summer,Abnormal,No Crops Suitable
6.96,1304,10,24,Summer,Normal,Banana
9.02,617,14,36,Rabi,Abnormal,No Crops Suitable
4.8,2678,28,11,Rabi,Abnormal,No Crops Suitable
7.39,824,8,30,Kharif,Normal,Groundnut
4.91,715,48,16,Rabi,Abnormal,No Crops Suitable
6.85,576,8,21,Summer,Normal,Banana
5.78,1918,10,32,Summer,Abnormal,No Crops Suitable
6.38,779,8,25,Kharif,Normal,Maize
6.43,2072,17,26,Rabi,Abnormal,No Crops Suitable
7.39,781,13,30,Rabi,Normal,Jowar
5.35,550,2,22,Kharif,Normal,Castor
8.22,2597,27,12,Rabi,Abnormal,No Crops Suitable
8.36,509,30,40,Kharif,Abnormal,No Crops Suitable
5.18,1942,49,29,Kharif,Abnormal,No Crops Suitable
4.72,516,33,28,Kharif,Abnormal,No Crops Suitable
5.34,1666,41,36,Rabi,Abnormal,No Crops Suitable
4.49,2616,24,20,Summer,Abnormal,No Crops Suitable
6.59,918,10,24,Kharif,Normal,Maize
7.14,590,10,25,Kharif,Normal,Maize
6.15,2866,13,18,Kharif,Abnormal,No Crops Suitable
4.96,547,4,28,Kharif,Abnormal,No Crops Suitable
6.38,1464,1,25,Rabi,Normal,Chillies
4.95,968,30,39,Summer,Abnormal,No Crops Suitable
6.27,2509,42,39,Summer,Abnormal,No Crops Suitable
7.41,702,13,32,Kharif,Normal,Cotton
5.66,778,3,22,Kharif,Normal,Castor
9.88,2404,33,10,Summer,Abnormal,No Crops Suitable
6.59,1308,0,27,Rabi,Normal,Jowar
4.9,2371,32,29,Summer,Abnormal,No Crops Suitable
6.31,712,4,27,Kharif,Normal,Groundnut
9.02,775,43,18,Kharif,Abnormal,No Crops Suitable
6.18,739,0,25,Summer,Normal,Mango
8.26,2898,34,14,Kharif,Abnormal,No Crops Suitable
4.73,1289,27,27,Summer,Abnormal,No Crops Suitable
9.37,747,33,14,Rabi,Abnormal,No Crops Suitable
9.37,2359,23,20,Kharif,Abnormal,No Crops Suitable
6.3,1060,9,26,Kharif,Normal,Castor
6.34,386,3,16,Rabi,Normal,Onion
6.23,468,0,25,Kharif,Normal,Groundnut
7.59,2093,12,31,Summer,Abnormal,No Crops Suitable
6.56,813,10,28,Kharif,Normal,Red Gram
6.95,2872,34,10,Rabi,Abnormal,No Crops Suitable
9.83,1793,44,35,Rabi,Abnormal,No Crops Suitable
8.65,2703,8,42,Rabi,Abnormal,No Crops Suitable
9.21,773,49,44,Kharif,Abnormal,No Crops Suitable
5.76,373,13,21,Kharif,Normal,Paddy
6.01,532,6,18,Rabi,Abnormal,No Crops Suitable
8.14,2171,39,26,Rabi,Abnormal,No Crops Suitable
8.3,1156,12,28,Rabi,Normal,Jowar
5.58,857,14,33,Rabi,Abnormal,No Crops Suitable
8.66,334,2,25,Rabi,Normal,Bengal Gram
8.03,1213,8,30,Rabi,Normal,Jowar
7.29,1380,9,22,Kharif,Normal,Cotton
5.33,583,0,21,Kharif,Normal,Castor
4.21,2541,41,40,Summer,Abnormal,No Crops Suitable
6.03,2021,10,43,Summer,Abnormal,No Crops Suitable
7.86,1493,19,34,Rabi,Abnormal,No Crops Suitable
6.74,1950,1,22,Summer,Normal,Tomato
7.31,1177,46,40,Summer,Abnormal,No Crops Suitable
5.34,1368,38,32,Rabi,Abnormal,No Crops Suitable
6.39,1928,49,10,Kharif,Abnormal,No Crops Suitable
7.02,1087,2,24,Summer,Normal,Mango
7.37,387,6,26,Kharif,Normal,Groundnut
5.53,316,28,33,Rabi,Abnormal,No Crops Suitable
4.25,370,34,28,Kharif,Abnormal,No Crops Suitable
5.81,1782,50,43,Kharif,Abnormal,No Crops Suitable
6.7,1065,17,34,Kharif,Abnormal,No Crops Suitable
6.52,1038,3,24,Rabi,Normal,Chillies
8.43,1830,33,11,Rabi,Abnormal,No Crops Suitable
7.12,654,3,29,Summer,Normal,Pomegranate
6.72,574,1,19,Rabi,Normal,Onion
9.6,1852,14,32,Rabi,Abnormal,No Crops Suitable
5.67,887,3,27,Kharif,Normal,Maize
9.63,2724,2,26,Rabi,Abnormal,No Crops Suitable
5.08,1120,0,23,Kharif,Normal,Castor
6.26,217,24,21,Kharif,Abnormal,No Crops Suitable
5.59,1326,19,42,Summer,Abnormal,No Crops Suitable
4.11,1510,3,35,Summer,Abnormal,No Crops Suitable
9.95,2988,3,20,Kharif,Abnormal,No Crops Suitable
9.83,305,16,31,Rabi,Abnormal,No Crops Suitable
6.82,1335,12,23,Kharif,Normal,Cotton
6.12,1472,0,20,Rabi,Normal,Chillies
7.75,1614,30,39,Rabi,Abnormal,No Crops Suitable
4.08,2317,16,12,Summer,Abnormal,No Crops Suitable
9.28,2314,22,29,Summer,Abnormal,No Crops Suitable
6.33,534,18,21,Kharif,Normal,Cotton
6.03,1125,9,20,Rabi,Normal,Chillies
8.89,795,36,31,Summer,Abnormal,No Crops Suitable
4.53,1745,34,30,Summer,Abnormal,No Crops Suitable
6.64,521,0,28,Summer,Normal,Sweet Orange
4.88,367,20,24,Summer,Abnormal,No Crops Suitable
6.46,473,4,23,Kharif,Normal,Paddy
7.0,743,3,25,Summer,Normal,Mango
7.9,640,1,23,Rabi,Normal,Bengal Gram
6.89,608,4,25,Rabi,Normal,Bengal Gram
4.6,2759,8,41,Kharif,Abnormal,No Crops Suitable
7.01,1666,14,45,Kharif,Abnormal,No Crops Suitable
7.41,1356,5,28,Summer,Normal,Banana
6.82,1817,16,26,Kharif,Abnormal,No Crops Suitable
6.32,459,2,30,Kharif,Normal,Groundnut
6.93,1940,36,16,Summer,Abnormal,No Crops Suitable
7.14,508,8,26,Summer,Normal,Banana
7.19,2068,29,45,Rabi,Abnormal,No Crops Suitable
6.57,2075,50,23,Rabi,Abnormal,No Crops Suitable
8.09,449,4,40,Rabi,Abnormal,No Crops Suitable
7.45,739,0,26,Kharif,Normal,Groundnut
6.25,814,2,21,Rabi,Normal,Onion
7.2,2600,13,35,Summer,Abnormal,No Crops Suitable
8.15,494,0,24,Rabi,Normal,Bengal Gram
6.65,2039,1,21,Summer,Normal,Tomato
7.2,567,9,25,Rabi,Normal,Sunflower
6.33,2054,5,45,Summer,Abnormal,No Crops Suitable
7.15,400,41,22,Kharif,Abnormal,No Crops Suitable
7.64,2516,36,16,Kharif,Abnormal,No Crops Suitable
6.76,648,8,24,Summer,Normal,Tomato
5.88,2332,27,16,Rabi,Abnormal,No Crops Suitable
5.64,562,3,20,Kharif,Normal,Castor
5.79,623,6,22,Summer,Normal,Tomato
5.08,2960,29,43,Kharif,Abnormal,No Crops Suitable
9.7,1415,15,36,Rabi,Abnormal,No Crops Suitable
6.13,961,3,23,Kharif,Normal,Castor
6.53,438,3,33,Summer,Normal,Sweet Orange
6.67,562,3,20,Rabi,Normal,Onion
9.85,1934,31,13,Rabi,Abnormal,No Crops Suitable
6.44,683,10,29,Kharif,Normal,Paddy
5.61,264,30,12,Kharif,Abnormal,No Crops Suitable
6.51,765,8,20,Rabi,Normal,Sunflower
8.53,881,41,21,Summer,Abnormal,No Crops Suitable
4.65,520,43,40,Kharif,Abnormal,No Crops Suitable
7.03,769,25,19,Rabi,Abnormal,No Crops Suitable
6.98,768,2,20,Rabi,Normal,Sunflower
6.99,1317,5,23,Summer,Normal,Banana
4.78,1542,36,12,Rabi,Abnormal,No Crops Suitable
6.45,1068,9,32,Rabi,Normal,Jowar
7.43,2417,25,24,Summer,Abnormal,No Crops Suitable
8.47,1684,37,17,Kharif,Abnormal,No Crops Suitable
6.24,463,0,26,Summer,Normal,Sweet Orange
7.14,906,10,39,Rabi,Abnormal,No Crops Suitable
7.43,899,45,29,Kharif,Abnormal,No Crops Suitable
6.1,1089,2,28,Summer,Normal,Mango
6.3,501,7,25,Kharif,Normal,Maize
6.27,770,7,24,Rabi,Normal,Sunflower
6.2,806,0,23,Rabi,Normal,Onion
5.12,379,8,23,Kharif,Normal,Castor
8.72,1035,45,15,Rabi,Abnormal,No Crops Suitable
7.42,589,23,37,Rabi,Abnormal,No Crops Suitable
5.91,1600,2,23,Summer,Normal,Tomato
6.71,571,2,24,Rabi,Normal,Onion
5.04,1177,45,36,Kharif,Abnormal,No Crops Suitable
5.65,2193,4,24,Summer,Normal,Tomato
7.52,1098,42,23,Summer,Abnormal,No Crops Suitable
6.53,1447,18,30,Kharif,Normal,Cotton
4.33,1517,28,15,Rabi,Abnormal,No Crops Suitable
6.94,461,3,15,Rabi,Normal,Onion
8.85,2967,16,32,Rabi,Abnormal,No Crops Suitable
7.34,305,5,35,Summer,Normal,Sweet Orange
5.34,675,21,26,Kharif,Abnormal,No Crops Suitable
9.85,1098,25,12,Rabi,Abnormal,No Crops Suitable
7.18,1313,12,29,Rabi,Normal,Jowar
5.37,2999,8,32,Kharif,Abnormal,No Crops Suitable
6.17,1517,5,22,Summer,Normal,Tomato
6.21,821,9,23,Rabi,Normal,Chillies
9.32,2111,16,22,Summer,Abnormal,No Crops Suitable
6.26,1191,3,27,Rabi,Normal,Chillies
6.29,1052,20,28,Kharif,Normal,Cotton
7.29,1188,4,26,Summer,Normal,Mango
6.94,2808,47,38,Kharif,Abnormal,No Crops Suitable
6.93,906,3,22,Rabi,Normal,Sunflower
6.57,326,3,29,Kharif,Normal,Groundnut
6.55,559,3,27,Kharif,Normal,Red Gram
6.14,565,0,32,Rabi,Normal,Jowar
7.24,761,3,19,Rabi,Normal,Bengal Gram
7.2,578,4,22,Rabi,Normal,Bengal Gram
5.15,2630,1,38,Rabi,Abnormal,No Crops Suitable
6.04,2649,13,31,Kharif,Abnormal,No Crops Suitable
6.78,985,7,21,Summer,Normal,Tomato
5.95,2814,20,40,Rabi,Abnormal,No Crops Suitable
7.3,2493,40,43,Rabi,Abnormal,No Crops Suitable
7.41,897,3,29,Kharif,Normal,Groundnut
8.41,622,11,32,Rabi,Normal,Jowar
4.99,2868,12,24,Rabi,Abnormal,No Crops Suitable
9.81,2062,44,37,Kharif,Abnormal,No Crops Suitable
6.9,970,0,28,Summer,Normal,Banana
6.06,274,20,24,Summer,Abnormal,No Crops Suitable
5.79,1231,22,35,Rabi,Abnormal,No Crops Suitable
5.36,1140,3,25,Kharif,Normal,Castor
7.29,1202,0,33,Summer,Normal,Sweet Orange
9.75,2921,15,13,Summer,Abnormal,No Crops Suitable
7.51,2661,38,13,Summer,Abnormal,No Crops Suitable
8.37,1517,33,20,Rabi,Abnormal,No Crops Suitable
6.92,1363,29,26,Rabi,Abnormal,No Crops Suitable
6.55,635,9,28,Kharif,Normal,Groundnut
8.23,1204,12,29,Rabi,Normal,Jowar
5.99,1249,37,25,Summer,Abnormal,No Crops Suitable
6.43,407,3,16,Rabi,Normal,Onion
7.27,926,5,28,Summer,Normal,Sweet Orange
5.51,354,4,26,Kharif,Normal,Maize
7.34,365,5,28,Summer,Normal,Pomegranate
4.25,2879,8,28,Summer,Abnormal,No Crops Suitable
7.54,979,45,45,Rabi,Abnormal,No Crops Suitable
9.94,2771,5,13,Summer,Abnormal,No Crops Suitable
6.47,445,42,38,Kharif,Abnormal,No Crops Suitable
6.87,326,4,19,Rabi,Normal,Onion
8.26,2801,49,33,Rabi,Abnormal,No Crops Suitable
5.65,579,7,21,Kharif,Normal,Paddy
6.68,852,6,21,Kharif,Normal,Red Gram
4.58,2922,47,30,Summer,Abnormal,No Crops Suitable
8.99,2721,11,32,Summer,Abnormal,No Crops Suitable
7.34,680,9,25,Summer,Normal,Pomegranate
9.55,2771,49,17,Kharif,Abnormal,No Crops Suitable
7.28,348,4,26,Summer,Normal,Mango
6.76,1051,0,20,Rabi,Normal,Sunflower
6.68,414,3,24,Kharif,Normal,Red Gram
6.41,395,7,22,Rabi,Normal,Chillies
7.21,458,4,23,Kharif,Normal,Maize
7.9,1365,32,10,Kharif,Abnormal,No Crops Suitable
7.09,1294,0,35,Summer,Normal,Sweet Orange
8.07,2117,49,40,Kharif,Abnormal,No Crops Suitable
6.54,1053,7,26,Kharif,Normal,Maize
6.64,407,2,28,Summer,Normal,Mango
9.64,2301,37,18,Kharif,Abnormal,No Crops Suitable
5.72,547,49,12,Summer,Abnormal,No Crops Suitable
5.53,830,10,39,Rabi,Abnormal,No Crops Suitable
5.75,1019,8,22,Kharif,Normal,Maize
5.41,2155,40,25,Kharif,Abnormal,No Crops Suitable
8.23,2968,26,15,Kharif,Abnormal,No Crops Suitable
6.95,639,0,15,Rabi,Normal,Bengal Gram
7.12,1073,3,25,Rabi,Normal,Sunflower
6.19,377,2,30,Summer,Normal,Sweet Orange
6.51,2871,14,19,Summer,Abnormal,No Crops Suitable
5.98,2793,16,19,Summer,Abnormal,No Crops Suitable
6.93,517,0,17,Rabi,Normal,Onion
9.75,1629,3,41,Summer,Abnormal,No Crops Suitable
6.84,764,7,21,Rabi,Normal,Sunflower
7.16,473,6,28,Summer,Normal,Banana
9.23,1317,7,44,Kharif,Abnormal,No Crops Suitable
7.84,725,8,22,Kharif,Normal,Red Gram
6.84,339,35,40,Kharif,Abnormal,No Crops Suitable
9.27,2309,42,35,Rabi,Abnormal,No Crops Suitable
8.38,1276,8,30,Rabi,Normal,Jowar
6.31,1554,50,34,Kharif,Abnormal,No Crops Suitable
6.17,586,2,28,Summer,Normal,Mango
6.21,1425,10,26,Rabi,Normal,Chillies
6.49,1437,33,14,Summer,Abnormal,No Crops Suitable
7.65,1335,18,26,Summer,Abnormal,No Crops Suitable
6.9,415,5,23,Rabi,Normal,Onion
6.39,1016,9,22,Kharif,Normal,Castor
6.75,2293,4,21,Summer,Normal,Tomato
6.75,1221,8,21,Summer,Normal,Tomato
8.58,472,7,29,Kharif,Abnormal,No Crops Suitable
6.08,601,11,26,Rabi,Normal,Jowar
9.96,2294,22,11,Rabi,Abnormal,No Crops Suitable
6.03,981,7,20,Kharif,Normal,Castor
7.2,497,3,24,Rabi,Normal,Bengal Gram
8.27,1210,3,35,Kharif,Abnormal,No Crops Suitable
6.3,330,3,32,Summer,Normal,Sweet Orange
8.66,1438,32,34,Rabi,Abnormal,No Crops Suitable
6.29,1320,3,29,Rabi,Normal,Chillies
6.68,424,5,27,Summer,Normal,Banana
7.65,886,10,29,Rabi,Normal,Jowar
6.49,929,10,25,Rabi,Normal,Jowar
9.7,566,14,36,Rabi,Abnormal,No Crops Suitable
4.61,1129,50,27,Summer,Abnormal,No Crops Suitable
4.27,314,17,32,Kharif,Abnormal,No Crops Suitable
6.38,960,10,20,Kharif,Normal,Maize
6.98,350,1,18,Rabi,Normal,Onion
7.16,827,0,27,Summer,Normal,Mango
5.61,435,1,32,Kharif,Normal,Paddy
9.17,353,7,16,Kharif,Abnormal,No Crops Suitable
5.87,495,5,23,Kharif,Normal,Paddy
5.89,306,5,21,Rabi,Abnormal,No Crops Suitable
7.4,526,8,22,Rabi,Normal,Sunflower
4.49,262,43,44,Summer,Abnormal,No Crops Suitable
7.96,1000,44,12,Rabi,Abnormal,No Crops Suitable
7.99,1721,20,15,Kharif,Abnormal,No Crops Suitable
7.71,864,1,32,Summer,Normal,Pomegranate
9.58,1430,0,43,Summer,Abnormal,No Crops Suitable
7.33,818,6,29,Kharif,Normal,Groundnut
6.66,493,5,14,Rabi,Normal,Onion
8.2,2105,40,26,Rabi,Abnormal,No Crops Suitable
7.48,664,7,27,Summer,Normal,Pomegranate
8.88,1373,33,21,Kharif,Abnormal,No Crops Suitable
7.06,1850,34,35,Kharif,Abnormal,No Crops Suitable
6.11,735,1,32,Summer,Normal,Sweet Orange
6.94,1223,8,20,Rabi,Normal,Sunflower
7.49,637,5,25,Kharif,Normal,Groundnut
6.57,2070,7,23,Summer,Normal,Tomato
4.96,2448,5,17,Rabi,Abnormal,No Crops Suitable
5.71,437,13,26,Kharif,Normal,Paddy
5.38,1978,40,27,Summer,Abnormal,No Crops Suitable
9.65,1432,26,25,Summer,Abnormal,No Crops Suitable
8.51,868,49,36,Rabi,Abnormal,No Crops Suitable
7.09,751,10,21,Rabi,Normal,Sunflower
7.02,384,6,23,Rabi,Normal,Sunflower
6.57,1603,2,34,Summer,Normal,Pomegranate
7.73,2881,28,42,Summer,Abnormal,No Crops Suitable
4.4,2251,21,33,Rabi,Abnormal,No Crops Suitable
5.37,2149,13,20,Summer,Abnormal,No Crops Suitable
6.11,995,49,29,Kharif,Abnormal,No Crops Suitable
5.59,966,2,27,Summer,Normal,Mango
7.45,1193,2,26,Summer,Normal,Banana
6.5,515,40,14,Summer,Abnormal,No Crops Suitable
8.14,637,4,29,Rabi,Normal,Jowar
6.25,402,10,26,Kharif,Normal,Castor
6.54,867,1,22,Summer,Normal,Tomato
6.94,1119,2,32,Summer,Normal,Pomegranate
6.32,313,6,28,Rabi,Normal,Chillies
6.43,604,2,22,Kharif,Normal,Castor
8.43,2977,23,17,Kharif,Abnormal,No Crops Suitable
8.22,1727,33,31,Rabi,Abnormal,No Crops Suitable
7.09,569,44,13,Rabi,Abnormal,No Crops Suitable
5.93,905,1,22,Kharif,Normal,Maize
6.66,949,4,33,Summer,Normal,Sweet Orange
8.84,365,2,19,Rabi,Normal,Bengal Gram
9.18,2367,26,38,Kharif,Abnormal,No Crops Suitable
7.81,2468,32,39,Summer,Abnormal,No Crops Suitable
9.28,2108,21,28,Kharif,Abnormal,No Crops Suitable
8.03,2354,1,22,Summer,Abnormal,No Crops Suitable
5.25,485,8,22,Kharif,Normal,Castor
6.29,635,11,36,Kharif,Abnormal,No Crops Suitable
5.41,1361,43,21,Kharif,Abnormal,No Crops Suitable
6.76,1631,9,28,Summer,Normal,Pomegranate
8.69,2544,3,26,Rabi,Abnormal,No Crops Suitable
6.72,861,5,23,Rabi,Normal,Chillies
6.26,773,5,22,Kharif,Normal,Castor
4.47,501,13,12,Kharif,Abnormal,No Crops Suitable
7.68,393,44,36,Summer,Abnormal,No Crops Suitable
7.0,851,39,31,Summer,Abnormal,No Crops Suitable
6.96,681,7,21,Rabi,Normal,Sunflower
8.38,1873,0,37,Summer,Abnormal,No Crops Suitable
7.81,721,7,28,Kharif,Normal,Red Gram
6.32,620,7,31,Rabi,Normal,Jowar
7.51,1218,37,24,Summer,Abnormal,No Crops Suitable
6.16,715,0,24,Rabi,Normal,Chillies
5.27,458,4,23,Kharif,Normal,Castor
6.19,830,9,28,Kharif,Normal,Groundnut
6.49,709,7,24,Rabi,Normal,Chillies
5.17,2337,46,36,Rabi,Abnormal,No Crops Suitable
5.0,2073,33,20,Rabi,Abnormal,No Crops Suitable
7.37,678,4,24,Rabi,Normal,Sunflower
6.44,797,12,28,Kharif,Normal,Paddy
6.31,659,5,27,Summer,Normal,Sweet Orange
7.19,2640,10,34,Rabi,Abnormal,No Crops Suitable
7.38,2493,48,29,Rabi,Abnormal,No Crops Suitable
6.5,1322,9,20,Summer,Normal,Banana
5.53,1775,2,23,Summer,Normal,Tomato
7.07,307,1,21,Rabi,Normal,Bengal Gram
6.31,725,2,30,Kharif,Normal,Paddy
9.04,2480,0,11,Rabi,Abnormal,No Crops Suitable
5.78,409,5,24,Summer,Normal,Mango
7.5,348,0,29,Summer,Normal,Mango
6.78,534,6,27,Summer,Normal,Banana
8.33,569,19,32,Kharif,Abnormal,No Crops Suitable
5.42,2463,36,17,Summer,Abnormal,No Crops Suitable
6.62,460,2,13,Rabi,Normal,Onion
9.24,2372,45,15,Summer,Abnormal,No Crops Suitable
5.36,1241,48,31,Rabi,Abnormal,No Crops Suitable
5.18,783,10,23,Kharif,Normal,Castor
8.11,1165,50,21,Rabi,Abnormal,No Crops Suitable
6.48,802,10,20,Rabi,Normal,Chillies
5.31,1243,41,25,Kharif,Abnormal,No Crops Suitable
4.29,2289,2,45,Rabi,Abnormal,No Crops Suitable
6.64,664,4,31,Summer,Normal,Sweet Orange
7.04,1859,37,45,Kharif,Abnormal,No Crops Suitable
6.38,1151,3,24,Kharif,Normal,Castor
7.21,1275,8,22,Rabi,Normal,Sunflower
9.38,2227,10,22,Summer,Abnormal,No Crops Suitable
9.43,2465,44,43,Kharif,Abnormal,No Crops Suitable
4.36,600,17,37,Rabi,Abnormal,No Crops Suitable
7.31,859,9,34,Rabi,Abnormal,No Crops Suitable
8.71,1489,2,17,Rabi,Abnormal,No Crops Suitable
6.16,2520,34,42,Summer,Abnormal,No Crops Suitable
5.98,529,8,26,Kharif,Normal,Cotton
7.58,392,0,26,Kharif,Normal,Red Gram
8.91,2943,16,27,Rabi,Abnormal,No Crops Suitable
6.77,1102,10,31,Rabi,Normal,Jowar
7.82,1395,19,44,Kharif,Abnormal,No Crops Suitable
7.07,2435,13,23,Kharif,Abnormal,No Crops Suitable
6.2,1062,2,25,Rabi,Normal,Sunflower
8.74,1249,27,24,Rabi,Abnormal,No Crops Suitable
5.79,547,8,25,Kharif,Normal,Maize
5.75,2204,30,11,Summer,Abnormal,No Crops Suitable
6.29,1359,6,24,Rabi,Normal,Chillies
6.79,1348,2,27,Summer,Normal,Sweet Orange
6.2,518,2,30,Summer,Normal,Sweet Orange
6.25,1766,21,33,Rabi,Abnormal,No Crops Suitable
5.4,2020,35,43,Rabi,Abnormal,No Crops Suitable
8.25,2648,18,35,Summer,Abnormal,No Crops Suitable
7.14,598,4,19,Kharif,Normal,Red Gram
6.13,441,0,16,Rabi,Normal,Onion
7.04,420,11,25,Rabi,Normal,Jowar
9.84,754,6,31,Kharif,Abnormal,No Crops Suitable
6.09,319,7,26,Kharif,Normal,Maize
6.07,1418,12,42,Summer,Abnormal,No Crops Suitable
6.77,787,0,23,Rabi,Normal,Onion
4.83,1477,23,30,Rabi,Abnormal,No Crops Suitable
6.9,782,5,24,Summer,Normal,Mango
6.55,719,4,28,Summer,Normal,Sweet Orange
5.72,2367,10,15,Rabi,Abnormal,No Crops Suitable
7.67,2501,3,39,Rabi,Abnormal,No Crops Suitable
6.94,864,3,26,Summer,Normal,Banana
5.99,400,5,26,Summer,Normal,Mango
6.05,721,15,30,Kharif,Normal,Paddy
8.24,1277,1,33,Summer,Abnormal,No Crops Suitable
7.12,738,5,24,Kharif,Normal,Red Gram
4.81,2299,33,37,Summer,Abnormal,No Crops Suitable
8.76,538,15,18,Rabi,Abnormal,No Crops Suitable
6.0,733,7,22,Kharif,Normal,Paddy
8.72,2376,1,26,Rabi,Abnormal,No Crops Suitable
5.69,416,22,16,Kharif,Abnormal,No Crops Suitable
7.46,1185,1,34,Summer,Normal,Pomegranate
7.36,742,5,34,Summer,Normal,Sweet Orange
5.95,1992,48,43,Kharif,Abnormal,No Crops Suitable
5.82,657,12,42,Summer,Abnormal,No Crops Suitable
6.01,530,5,16,Rabi,Normal,Bengal Gram
6.09,1118,4,25,Summer,Normal,Mango
5.9,1297,17,29,Rabi,Abnormal,No Crops Suitable
5.99,879,2,24,Summer,Normal,Mango
4.6,2320,27,42,Kharif,Abnormal,No Crops Suitable
