temperature,turbidity,tds,ph,result
39,57,10,8,2
36,61,9,11,2
25,36,2,10,2
23,65,6,6,2
33,61,9,10,1
38,67,8,6,2
30,46,12,3,2
40,22,12,8,2
21,53,7,5,2
18,70,2,2,2
34,77,10,12,2
22,41,1,12,2
39,67,4,9,2
36,70,9,3,2
22,40,6,13,1
22,38,5,10,2
17,59,3,5,2
34,35,11,10,1
37,24,4,10,2
20,49,12,4,2
30,54,11,11,1
33,42,5,12,2
34,57,10,14,1
40,44,8,9,2
19,26,7,14,1
36,69,2,6,2
31,63,6,6,2
21,33,11,13,1
21,61,9,14,1
37,58,2,14,2
21,40,6,13,1
32,59,11,6,2
24,43,6,9,2
40,20,4,4,2
25,21,7,7,2
22,54,2,1,2
18,72,5,12,2
32,37,5,10,2
22,37,11,5,2
31,70,4,11,2
32,64,5,7,2
18,72,7,2,2
27,30,11,4,2
16,77,5,13,2
28,34,5,4,2
34,35,8,14,1
39,52,8,7,2
20,23,8,12,1
25,78,11,4,2
18,73,7,7,2
31,33,12,3,2
31,67,1,4,2
15,65,1,12,2
34,33,11,2,2
39,66,1,4,2
23,57,1,10,2
31,75,5,3,2
31,44,8,13,1
30,64,3,3,2
37,49,10,11,2
29,64,5,5,2
32,27,10,13,1
31,71,8,5,2
38,51,9,10,2
18,61,11,14,1
38,27,12,1,2
23,78,5,1,2
21,72,6,13,2
24,22,4,7,2
40,30,3,11,2
26,43,2,13,2
19,61,3,4,2
20,27,6,13,1
31,29,9,9,2
39,32,6,11,2
33,58,1,5,2
24,23,12,11,1
29,79,11,12,2
15,25,10,14,1
35,43,6,10,2
36,32,6,6,2
25,51,11,11,1
20,22,2,8,2
26,44,2,8,2
30,71,10,7,2
32,58,9,9,2
28,71,3,9,2
15,77,10,4,2
17,69,2,9,2
36,56,12,3,2
30,46,5,2,2
31,35,5,8,2
28,25,1,6,2
24,79,3,8,2
34,21,10,10,1
19,34,8,11,1
28,49,8,5,2
32,68,8,9,2
25,44,12,1,2
34,76,5,3,2
32,20,12,5,2
34,44,8,11,1
29,27,2,10,2
35,34,12,4,2
23,52,7,10,1
40,22,5,14,2
22,51,10,9,2
33,45,12,4,2
38,45,2,11,2
35,45,4,4,2
40,73,10,6,2
24,21,7,8,2
29,53,5,9,2
40,79,5,3,2
26,55,6,9,2
30,20,12,13,1
24,29,8,1,2
29,43,2,10,2
39,31,12,11,2
23,53,8,11,1
38,56,7,4,2
34,45,10,6,2
27,61,5,3,2
25,60,6,13,1
19,70,4,7,2
16,73,7,11,2
28,60,2,13,2
38,22,2,5,2
36,65,11,13,2
29,48,4,4,2
32,25,2,8,2
16,65,8,9,2
16,76,3,3,2
21,56,9,7,2
20,69,5,3,2
16,75,5,6,2
15,70,5,2,2
15,35,10,13,1
35,33,1,14,2
21,26,5,5,2
33,53,10,5,2
28,32,3,5,2
26,46,11,11,1
33,65,6,11,1
40,29,6,7,2
15,31,3,6,2
33,55,4,10,2
27,45,12,4,2
26,25,6,5,2
22,41,9,6,2
16,61,11,1,2
38,22,7,8,2
16,50,12,2,2
36,66,3,14,2
37,21,11,9,2
31,68,10,2,2
23,67,7,11,1
18,55,10,8,2
24,63,8,9,2
19,21,5,14,2
36,43,8,4,2
34,67,1,11,2
35,67,9,12,2
16,78,11,4,2
15,76,4,4,2
28,40,1,5,2
31,35,1,10,2
32,25,8,13,1
31,52,6,12,1
27,28,5,13,2
33,58,2,6,2
28,28,6,7,2
38,41,4,14,2
39,78,9,12,2
34,33,10,6,2
36,45,10,5,2
26,58,3,9,2
27,43,8,8,0
31,74,11,10,2
35,56,10,10,2
15,62,3,6,2
30,72,9,2,2
17,38,12,10,1
21,55,2,10,2
20,62,7,8,2
40,64,11,7,2
39,21,5,2,2
16,44,2,5,2
33,37,5,5,2
34,33,7,1,2
33,55,10,12,1
35,39,8,9,2
34,66,10,1,2
26,76,3,14,2
17,44,10,13,1
27,40,2,3,2
34,24,2,3,2
31,58,9,6,2
19,20,3,7,2
34,79,7,10,2
37,25,3,1,2
22,27,8,7,2
25,37,10,3,2
36,76,2,13,2
38,64,2,1,2
28,25,7,11,1
29,52,9,14,1
16,27,5,5,2
18,53,9,2,2
33,26,3,6,2
18,58,3,3,2
37,22,12,8,2
31,67,2,11,2
16,68,5,7,2
37,69,10,8,2
40,77,9,5,2
30,21,6,3,2
39,58,10,4,2
17,66,10,3,2
23,53,5,12,2
32,39,12,11,1
37,76,12,7,2
29,32,6,1,2
22,27,1,9,2
17,40,4,12,2
19,28,1,5,2
31,71,12,4,2
28,80,2,5,2
36,52,4,1,2
23,43,11,12,1
37,33,5,2,2
19,61,9,9,2
24,70,6,7,2
24,56,12,14,1
26,57,2,9,2
38,56,2,5,2
35,50,2,5,2
16,63,1,13,2
27,36,4,3,2
35,50,11,11,2
40,48,5,14,2
31,35,11,6,2
21,68,1,8,2
25,33,8,6,2
17,26,3,6,2
17,43,12,12,1
20,71,10,9,2
40,51,2,1,2
20,22,1,3,2
24,37,10,8,0
17,60,5,4,2
27,41,9,8,0
23,64,3,11,2
40,73,12,7,2
29,23,7,5,2
26,23,5,8,2
28,54,11,11,1
24,67,7,3,2
23,67,3,12,2
26,40,3,14,2
21,48,3,9,2
18,42,10,8,0
15,22,10,1,2
39,33,6,4,2
40,55,3,10,2
20,30,1,6,2
31,72,6,1,2
27,48,5,13,2
28,20,5,5,2
30,54,9,11,1
22,71,9,11,2
17,59,4,14,2
15,29,3,1,2
37,25,2,7,2
34,34,9,1,2
15,52,2,10,2
23,80,2,4,2
16,72,5,13,2
36,26,3,9,2
20,65,6,5,2
34,46,12,7,2
20,28,3,14,2
28,58,6,3,2
36,56,3,12,2
32,60,8,5,2
29,64,4,7,2
40,31,11,6,2
17,72,7,2,2
37,50,5,9,2
24,58,4,2,2
38,50,9,13,2
34,38,5,2,2
20,38,5,4,2
31,62,9,4,2
37,33,8,1,2
35,64,11,7,2
31,48,2,14,2
30,34,6,8,2
19,48,7,7,2
18,46,4,7,2
31,72,9,9,2
18,53,7,11,1
20,44,11,1,2
38,50,2,9,2
16,68,4,9,2
33,48,12,3,2
15,43,8,2,2
27,65,4,1,2
34,47,10,3,2
25,77,5,4,2
21,23,5,7,2
20,22,1,6,2
38,53,9,8,2
26,31,10,2,2
36,73,8,14,2
37,71,12,4,2
32,71,7,4,2
22,57,3,11,2
34,74,3,7,2
21,35,2,3,2
36,58,4,4,2
26,55,3,5,2
37,27,11,14,2
33,72,10,8,2
22,38,6,1,2
32,65,5,3,2
40,44,5,6,2
36,60,2,14,2
32,46,12,12,1
32,23,2,2,2
29,45,5,8,2
19,49,2,5,2
18,29,7,1,2
20,79,1,14,2
33,44,2,2,2
22,25,11,2,2
23,78,4,5,2
24,74,5,3,2
21,62,8,5,2
29,66,6,11,1
39,68,4,9,2
26,44,1,1,2
39,76,12,11,2
24,43,10,9,0
29,79,2,14,2
25,31,1,3,2
31,34,12,9,2
21,43,7,4,2
27,34,8,7,2
33,37,8,5,2
28,52,3,7,2
33,41,4,4,2
38,30,3,9,2
28,67,12,3,2
21,58,11,4,2
16,77,10,8,2
36,23,7,5,2
17,66,5,8,2
39,63,3,5,2
15,28,10,4,2
31,60,7,4,2
28,56,12,11,1
35,66,5,3,2
29,71,9,11,2
18,70,1,4,2
31,42,10,4,2
38,20,11,11,2
40,20,10,8,2
36,49,11,4,2
19,73,3,13,2
20,51,6,6,2
15,63,12,6,2
22,38,8,13,1
36,73,7,10,2
26,77,11,14,2
37,51,1,8,2
39,35,11,1,2
36,53,7,3,2
38,75,11,1,2
39,25,10,10,2
39,73,9,14,2
26,24,5,4,2
17,48,9,6,2
40,57,6,10,2
18,34,2,4,2
39,45,11,8,2
26,80,4,11,2
20,77,6,12,2
27,38,9,4,2
34,76,3,4,2
36,65,10,2,2
36,80,9,7,2
15,75,11,10,2
22,48,7,2,2
25,71,3,9,2
38,35,9,1,2
32,56,6,1,2
37,56,3,6,2
21,40,3,9,2
39,44,6,8,2
17,78,4,13,2
26,27,11,6,2
28,78,10,11,2
38,75,11,12,2
35,79,5,5,2
17,80,3,9,2
28,43,2,2,2
25,46,11,13,1
29,55,3,7,2
21,71,5,7,2
22,80,7,8,2
16,27,11,9,0
26,58,1,2,2
28,39,12,8,0
33,58,8,12,1
39,72,5,13,2
38,43,7,10,2
15,50,12,11,1
28,38,1,5,2
17,80,4,8,2
20,58,7,6,2
15,46,8,2,2
38,21,3,3,2
18,59,5,8,2
39,27,3,12,2
23,71,9,2,2
30,27,7,10,1
28,22,1,11,2
31,71,12,5,2
25,33,7,8,2
35,51,3,13,2
39,56,8,4,2
27,46,6,3,2
21,43,8,1,2
36,25,5,5,2
18,49,9,3,2
35,43,3,1,2
21,65,9,8,2
38,40,5,8,2
31,34,2,14,2
21,48,6,4,2
37,21,5,1,2
24,78,5,14,2
40,24,11,9,2
30,80,9,1,2
23,73,10,11,2
22,69,8,7,2
39,59,12,1,2
33,36,12,14,1
40,69,11,4,2
25,31,11,1,2
35,70,4,4,2
26,25,2,10,2
29,39,7,9,2
26,32,7,7,2
32,76,8,3,2
26,23,9,2,2
20,48,3,13,2
25,40,11,7,2
40,65,4,8,2
26,26,10,2,2
30,25,1,10,2
15,75,12,14,2
32,78,7,14,2
35,70,9,12,2
33,23,12,6,2
16,40,1,7,2
28,53,5,11,2
28,21,8,4,2
24,35,1,11,2
29,48,9,9,2
38,59,6,6,2
17,42,2,9,2
21,34,6,13,1
34,62,9,13,1
33,50,1,8,2
15,58,10,2,2
34,69,2,7,2
38,44,9,13,2
33,68,1,1,2
28,53,3,12,2
22,32,9,14,1
22,30,7,9,2
21,21,12,13,1
35,23,8,11,2
35,34,8,12,2
22,30,3,4,2
36,74,5,12,2
24,31,8,8,0
17,58,2,10,2
18,67,2,2,2
32,74,10,1,2
25,38,7,10,1
29,63,5,3,2
23,30,4,6,2
39,79,4,14,2
33,46,11,6,2
22,65,2,14,2
32,45,3,8,2
34,65,6,10,1
18,67,7,14,1
38,27,4,1,2
33,76,3,12,2
28,78,1,10,2
26,20,3,6,2
31,49,2,5,2
27,73,6,14,2
37,60,5,8,2
39,58,10,13,2
35,47,3,7,2
38,61,11,13,2
38,34,11,7,2
29,24,7,7,2
29,70,4,11,2
25,38,4,5,2
20,30,9,6,2
28,32,5,12,2
19,45,12,8,0
17,26,3,6,2
24,58,12,10,1
38,74,2,9,2
38,40,5,9,2
20,65,9,13,1
34,78,12,14,2
33,38,6,4,2
31,29,9,7,2
24,49,3,10,2
40,56,1,13,2
33,32,9,8,2
36,23,6,11,2
38,45,7,3,2
26,44,2,6,2
22,33,12,14,1
40,32,10,4,2
16,50,12,1,2
20,23,12,12,1
36,22,2,14,2
39,36,1,4,2
15,68,4,12,2
34,63,10,9,2
17,47,10,14,1
17,49,3,14,2
18,51,12,2,2
38,30,12,2,2
20,31,12,3,2
40,60,7,3,2
21,36,6,7,2
31,47,1,2,2
26,39,4,4,2
28,35,12,13,1
15,35,11,10,1
37,52,4,2,2
20,58,8,7,2
33,71,1,5,2
15,24,2,8,2
18,76,5,13,2
33,74,9,8,2
39,75,4,13,2
29,36,9,12,1
22,58,1,12,2
30,35,7,8,2
20,51,11,13,1
19,74,4,1,2
18,38,10,9,0
17,58,11,7,2
16,57,8,7,2
34,52,5,9,2
38,46,4,12,2
35,52,9,11,2
16,43,8,4,2
25,73,2,13,2
28,40,6,11,1
20,27,6,7,2
38,68,12,3,2
17,46,12,1,2
27,75,1,3,2
18,36,2,6,2
24,71,1,6,2
29,48,4,6,2
40,74,9,3,2
39,71,9,8,2
29,26,4,3,2
17,60,4,3,2
31,63,6,3,2
32,73,10,14,2
38,21,1,13,2
20,36,4,1,2
29,77,7,3,2
26,62,12,13,1
15,54,3,14,2
20,63,11,2,2
18,34,5,8,2
21,72,9,12,2
18,27,8,9,0
30,69,11,1,2
38,51,10,10,2
24,38,1,13,2
33,51,10,11,1
31,55,5,7,2
28,52,6,12,1
18,35,5,14,2
22,29,6,2,2
20,68,5,1,2
38,59,1,4,2
19,31,8,10,1
40,54,12,2,2
28,22,5,5,2
15,43,3,4,2
36,46,9,3,2
36,41,4,3,2
19,20,9,8,0
20,72,2,4,2
27,68,10,10,1
31,59,2,12,2
32,60,10,2,2
21,79,1,12,2
22,51,1,8,2
16,57,7,5,2
29,51,7,2,2
29,27,3,9,2
37,35,11,12,2
31,51,7,8,2
40,74,12,5,2
35,68,6,14,2
34,34,3,1,2
37,61,6,3,2
35,36,3,14,2
18,66,11,9,2
40,74,8,2,2
39,73,11,6,2
17,49,12,1,2
28,77,9,4,2
21,28,6,1,2
17,58,10,3,2
34,24,2,11,2
22,56,6,4,2
26,71,3,5,2
39,55,1,5,2
29,77,4,1,2
20,61,4,3,2
33,28,11,12,1
20,62,10,1,2
37,68,3,4,2
39,75,10,3,2
34,35,4,4,2
26,79,10,12,2
31,24,4,5,2
32,21,11,2,2
28,73,1,12,2
33,24,11,8,2
21,35,3,10,2
18,30,2,10,2
31,71,12,10,2
26,44,2,11,2
24,68,12,4,2
24,29,1,11,2
31,75,3,9,2
35,34,5,9,2
39,45,9,3,2
32,61,3,7,2
27,34,9,13,1
16,44,10,14,1
16,36,1,12,2
18,55,3,10,2
22,70,1,1,2
35,58,6,12,2
30,57,2,12,2
34,23,7,14,1
38,74,2,14,2
21,28,7,1,2
16,43,1,4,2
22,72,3,10,2
28,27,12,5,2
28,61,3,12,2
21,64,11,1,2
19,31,12,10,1
15,74,4,5,2
28,74,8,6,2
19,54,9,10,1
17,52,9,10,1
15,57,3,13,2
34,37,6,3,2
17,20,2,6,2
18,58,8,12,1
31,68,7,13,1
33,32,9,10,1
38,55,7,2,2
29,47,5,11,2
23,28,12,5,2
16,58,11,7,2
24,49,8,7,2
27,70,8,13,2
26,49,12,2,2
33,69,9,8,2
28,66,7,2,2
22,25,11,14,1
34,29,10,13,1
20,37,3,8,2
31,73,1,9,2
35,42,6,7,2
23,31,3,14,2
29,34,4,5,2
39,53,7,10,2
22,41,7,9,2
15,72,6,10,2
37,65,6,6,2
37,76,7,14,2
39,50,2,3,2
21,51,1,2,2
30,40,9,13,1
30,46,12,9,2
17,71,4,9,2
32,71,3,6,2
25,43,9,13,1
29,43,6,9,2
31,60,9,3,2
30,72,8,13,2
31,24,3,13,2
33,72,1,9,2
20,59,4,10,2
38,38,1,8,2
20,52,5,10,2
17,31,4,1,2
36,28,9,14,2
35,39,9,11,2
40,44,4,9,2
15,76,6,11,2
23,21,11,6,2
20,20,9,6,2
28,69,6,4,2
22,54,5,11,2
17,26,1,1,2
31,23,3,12,2
33,66,8,7,2
30,51,7,11,1
33,52,6,2,2
16,39,6,14,1
26,70,5,14,2
24,52,2,6,2
38,37,10,13,2
23,59,2,13,2
28,29,1,6,2
29,45,12,1,2
19,49,2,13,2
26,37,8,3,2
22,50,3,4,2
16,77,12,2,2
17,35,5,9,2
37,50,3,8,2
23,33,6,1,2
27,26,8,7,2
21,53,6,7,2
18,79,3,8,2
24,56,10,4,2
22,53,7,7,2
31,68,3,3,2
33,56,4,10,2
19,58,11,2,2
37,40,7,4,2
33,47,8,11,1
15,75,5,10,2
15,50,9,7,2
25,60,4,12,2
22,54,8,7,2
35,47,9,9,2
39,37,3,9,2
19,76,3,5,2
31,36,4,5,2
34,53,8,10,1
27,50,9,1,2
26,54,6,14,1
30,56,5,7,2
21,65,3,12,2
24,42,10,3,2
25,66,9,7,2
29,61,8,11,1
23,68,10,6,2
37,30,7,5,2
21,42,8,4,2
21,39,4,2,2
37,33,9,5,2
34,35,12,6,2
35,78,5,8,2
37,67,11,14,2
30,39,6,4,2
35,43,1,10,2
29,68,4,10,2
22,20,3,8,2
29,74,1,9,2
17,45,9,2,2
36,50,3,6,2
30,80,10,14,2
33,68,10,7,2
18,28,7,6,2
36,50,8,9,2
29,57,12,11,1
29,28,12,2,2
37,22,3,13,2
25,26,10,9,0
38,58,1,13,2
28,63,4,1,2
22,57,3,5,2
28,59,2,11,2
35,27,1,1,2
15,55,5,2,2
29,21,10,3,2
19,35,8,4,2
32,37,1,2,2
27,79,8,10,2
40,36,4,6,2
29,27,8,9,2
28,60,2,5,2
40,64,3,7,2
24,73,8,6,2
15,37,2,4,2
16,65,7,2,2
28,51,1,5,2
32,36,9,6,2
15,34,2,10,2
33,69,2,3,2
40,50,4,6,2
40,28,6,1,2
16,49,11,5,2
36,55,11,9,2
17,68,2,5,2
24,47,8,6,2
21,49,1,11,2
29,55,12,6,2
34,23,4,11,2
23,28,8,2,2
20,74,9,13,2
26,26,10,7,2
22,54,9,9,2
35,60,8,4,2
18,72,12,10,2
38,22,10,4,2
28,78,6,3,2
16,28,10,11,1
36,39,7,10,2
18,66,9,6,2
18,28,1,2,2
23,40,6,11,1
16,69,2,3,2
21,30,12,12,1
33,71,11,4,2
29,72,2,3,2
18,63,2,5,2
24,31,5,1,2
38,35,8,1,2
35,20,1,12,2
29,57,10,11,1
23,35,12,7,2
15,49,10,9,0
27,71,5,1,2
28,32,7,1,2
29,77,2,12,2
23,31,1,7,2
33,58,5,5,2
19,52,6,4,2
31,68,10,2,2
20,68,10,8,2
22,50,2,11,2
39,25,12,11,2
33,54,3,4,2
24,71,5,13,2
29,54,5,2,2
17,78,1,6,2
36,21,10,12,2
26,38,8,10,1
31,74,4,9,2
29,57,9,6,2
15,64,10,12,1
24,80,10,13,2
36,63,11,1,2
40,72,10,2,2
32,55,10,12,1
18,79,3,8,2
29,77,5,6,2
16,47,3,14,2
19,61,5,8,2
32,42,2,1,2
25,47,5,12,2
16,51,1,10,2
34,40,10,3,2
39,24,12,10,2
34,68,10,4,2
35,59,2,12,2
22,55,6,1,2
28,46,6,4,2
28,77,4,7,2
20,45,10,14,1
27,42,5,7,2
23,68,4,6,2
35,60,10,6,2
33,47,3,8,2
25,60,11,11,1
32,69,10,9,2
22,56,12,9,2
15,68,2,9,2
23,69,8,14,1
17,38,1,5,2
16,27,12,14,1
17,65,12,3,2
15,56,9,2,2
36,37,9,8,2
36,38,10,9,2
19,24,5,14,2
34,65,1,13,2
39,68,11,6,2
26,30,5,6,2
26,57,1,14,2
22,63,3,5,2
17,26,9,12,1
29,27,9,11,1
21,25,6,6,2
20,58,6,12,1
29,70,7,11,2
32,71,10,11,2
18,56,3,4,2
27,58,12,5,2
31,40,7,14,1
19,44,9,6,2
18,72,8,7,2
24,71,10,1,2
39,80,2,9,2
33,43,3,1,2
35,29,10,2,2
27,62,6,13,1
39,67,12,13,2
37,62,6,3,2
20,70,6,8,2
33,45,12,1,2
36,47,4,13,2
33,74,8,1,2
20,57,8,14,1
18,66,1,9,2
32,40,12,4,2
16,70,7,14,2
37,78,8,9,2
40,79,6,3,2
29,38,9,4,2
28,74,2,2,2
28,24,1,11,2
18,65,2,5,2
32,68,1,11,2
23,61,5,1,2
38,72,5,5,2
21,33,1,12,2
26,46,8,9,0
15,58,4,12,2
37,52,9,9,2
19,27,9,8,0
22,62,3,7,2
38,57,6,5,2
25,23,1,14,2
29,57,11,9,2
39,24,11,14,2
28,47,10,14,1
37,31,11,5,2
17,74,6,12,2
40,55,2,5,2
18,47,1,1,2
17,79,2,2,2
19,78,11,6,2
27,47,7,12,1
20,34,12,8,0
28,43,12,9,0
31,28,2,11,2
19,32,4,5,2
26,35,3,14,2
27,53,1,7,2
18,68,2,1,2
33,36,3,2,2
32,27,10,9,2
25,40,6,14,1
32,73,8,8,2
37,28,12,6,2
30,55,3,8,2
30,64,12,3,2
15,29,2,4,2
34,75,3,3,2
35,60,7,14,2
39,27,4,8,2
34,69,10,11,1
20,69,4,6,2
29,46,5,2,2
34,46,10,12,1
26,63,11,9,2
23,27,1,7,2
35,50,1,3,2
36,23,7,5,2
20,21,4,14,2
23,55,10,12,1
23,52,8,11,1
24,52,8,3,2
30,53,10,3,2
33,34,11,10,1
19,20,9,2,2
39,68,6,4,2
39,26,10,9,2
32,63,11,9,2
25,37,3,8,2
23,63,7,7,2
26,47,2,12,2
26,47,11,6,2
26,60,4,13,2
26,64,1,6,2
37,54,1,5,2
23,47,1,10,2
22,23,11,1,2
39,76,7,2,2
37,56,2,10,2
23,60,9,3,2
39,78,5,13,2
34,45,12,12,1
33,72,1,2,2
30,61,9,11,1
40,49,6,14,2
39,44,11,5,2
34,26,12,11,1
25,44,8,11,1
15,52,6,4,2
36,76,7,14,2
29,61,6,14,1
29,32,10,2,2
16,53,11,13,1
35,75,2,13,2
38,29,7,3,2
15,33,12,6,2
37,76,3,10,2
20,71,4,2,2
16,53,1,11,2
18,34,12,4,2
21,27,4,8,2
32,79,9,12,2
37,28,1,7,2
27,71,12,4,2
28,34,2,8,2
38,68,6,12,2
37,26,10,14,2
30,34,7,5,2
36,68,6,3,2
37,66,5,7,2
23,30,2,8,2
36,34,12,4,2
27,58,12,12,1
36,26,3,6,2
17,59,4,8,2
36,24,5,10,2
36,38,8,4,2
36,54,5,4,2
35,25,12,11,2
20,51,12,4,2
38,40,1,14,2
19,41,12,13,1
38,49,3,4,2
17,67,6,2,2
26,26,10,7,2
18,37,7,12,1
16,71,7,10,2
19,51,4,4,2
32,71,2,14,2
17,22,10,4,2
33,66,3,4,2
37,67,6,10,2
15,55,9,5,2
29,72,6,3,2
29,52,9,11,1
27,39,1,13,2
16,35,7,13,1
30,28,11,7,2
32,34,3,3,2
28,47,7,3,2
32,64,2,8,2
27,41,7,14,1
18,36,4,7,2
35,26,11,4,2
25,47,1,6,2
22,43,5,7,2
17,55,4,12,2
17,42,10,4,2
26,60,6,6,2
26,79,3,8,2
29,53,7,6,2
36,80,8,8,2
37,61,12,11,2
39,44,9,13,2
15,46,6,10,1
32,38,9,12,1
34,31,7,6,2
38,67,2,13,2
34,60,1,8,2
19,59,9,3,2
15,80,1,7,2
31,64,7,8,2
25,65,1,2,2
28,24,6,6,2
31,57,6,2,2
36,38,10,9,2
29,45,12,13,1
19,67,7,7,2
33,29,5,5,2
17,61,7,9,2
25,31,1,6,2
20,78,9,10,2
36,67,2,2,2
26,53,11,2,2
22,27,11,1,2
28,79,4,3,2
33,35,1,14,2
31,47,11,9,2
26,68,10,7,2
21,44,6,8,2
34,50,5,2,2
35,22,12,9,2
16,44,4,7,2
27,74,7,4,2
21,45,7,10,1
25,63,1,13,2
22,76,4,8,2
31,58,11,1,2
29,25,4,10,2
17,72,8,11,2
24,80,9,1,2
20,26,12,7,2
32,62,7,11,1
33,36,2,7,2
35,30,3,2,2
19,61,9,2,2
34,52,4,9,2
32,26,8,14,1
19,53,11,8,2
21,51,8,9,2
18,56,6,11,1
37,32,4,3,2
38,44,5,9,2
18,55,4,5,2
16,73,10,3,2
23,48,5,5,2
37,27,4,11,2
37,78,8,13,2
40,60,7,11,2
19,23,4,7,2
18,20,11,10,1
21,65,12,8,2
33,22,3,9,2
35,21,8,2,2
39,72,7,8,2
37,61,5,1,2
36,74,6,5,2
22,58,10,6,2
40,23,10,2,2
17,56,9,1,2
30,22,11,1,2
21,34,8,7,2
27,64,12,7,2
33,35,6,5,2
15,24,6,1,2
31,22,4,3,2
25,39,3,11,2
20,78,4,12,2
28,72,10,14,2
32,51,4,3,2
28,36,9,4,2
31,29,2,1,2
31,28,2,2,2
32,79,6,10,2
22,79,11,14,2
25,50,9,5,2
16,57,10,11,1
34,44,5,14,2
22,44,3,6,2
35,61,10,9,2
40,62,3,11,2
38,68,3,5,2
37,27,11,9,2
24,71,2,11,2
25,24,6,5,2
30,30,6,1,2
23,77,9,2,2
16,73,9,9,2
17,79,3,8,2
28,32,3,7,2
29,48,1,7,2
25,60,7,12,1
32,78,8,10,2
35,23,7,9,2
31,64,10,9,2
24,77,6,11,2
39,55,1,6,2
32,36,10,11,1
38,48,5,5,2
39,41,5,10,2
23,74,4,3,2
20,20,4,1,2
30,66,1,10,2
40,35,12,11,2
19,43,3,9,2
38,50,11,9,2
17,31,7,10,1
17,35,10,5,2
30,76,1,10,2
15,29,4,8,2
39,23,7,14,2
38,51,4,9,2
22,57,12,6,2
35,77,12,6,2
30,77,4,7,2
17,66,1,1,2
34,74,11,3,2
35,80,7,10,2
19,22,9,5,2
34,42,8,3,2
26,77,11,14,2
15,66,7,10,1
26,44,4,5,2
31,21,10,14,1
30,68,3,10,2
17,77,2,2,2
22,42,2,8,2
23,45,6,5,2
27,29,2,6,2
17,26,3,11,2
32,58,7,4,2
37,63,5,7,2
26,30,8,7,2
40,43,6,10,2
35,47,8,6,2
28,34,10,8,0
32,45,6,11,1
19,22,4,11,2
30,37,8,11,1
40,75,12,2,2
29,53,12,7,2
29,33,2,14,2
26,24,1,8,2
36,78,4,2,2
36,44,5,4,2
25,37,12,12,1
38,37,11,7,2
36,30,10,11,2
39,50,10,3,2
24,31,4,11,2
19,60,1,4,2
39,42,8,13,2
33,68,1,14,2
27,34,5,10,2
25,79,6,14,2
26,25,2,2,2
18,64,12,2,2
29,52,12,1,2
22,58,9,11,1
40,26,2,1,2
27,30,7,2,2
26,39,9,2,2
38,29,9,6,2
27,30,1,6,2
33,60,7,9,2
39,21,7,7,2
35,65,5,3,2
36,73,3,3,2
34,53,5,7,2
22,55,11,2,2
40,44,12,9,2
38,51,5,6,2
40,31,8,13,2
28,32,10,8,0
25,32,12,10,1
38,22,9,5,2
16,74,2,14,2
15,20,10,11,1
34,24,6,2,2
21,34,10,11,1
17,24,6,7,2
30,29,3,9,2
31,37,2,10,2
24,63,5,6,2
39,57,5,6,2
19,48,6,14,1
19,72,1,6,2
22,68,2,7,2
35,59,11,13,2
34,23,2,3,2
37,21,5,11,2
36,49,1,13,2
27,26,1,13,2
15,29,5,7,2
26,29,10,14,1
31,75,12,4,2
35,72,11,13,2
33,26,10,6,2
26,54,1,13,2
24,75,10,10,2
29,48,11,6,2
40,74,10,7,2
35,68,12,10,2
25,69,8,2,2
22,71,12,8,2
38,44,12,12,2
18,41,12,10,1
39,67,4,2,2
40,27,11,4,2
36,73,12,5,2
28,80,11,9,2
39,74,2,1,2
16,72,4,3,2
17,55,4,13,2
39,56,4,7,2
36,75,2,14,2
36,60,7,7,2
21,74,2,6,2
29,29,7,2,2
25,62,8,10,1
25,57,6,12,1
34,20,10,11,1
38,23,10,2,2
30,70,10,9,2
17,21,8,11,1
40,74,3,11,2
22,48,12,14,1
35,56,5,5,2
40,67,1,2,2
40,48,2,8,2
23,57,9,1,2
19,64,9,13,1
40,74,2,5,2
22,60,12,3,2
25,22,5,8,2
32,80,11,12,2
17,80,5,2,2
33,20,11,9,2
36,27,12,12,2
17,73,11,3,2
18,25,2,4,2
34,23,6,7,2
19,56,6,7,2
15,23,12,3,2
37,74,9,12,2
29,73,1,1,2
34,75,5,8,2
35,35,6,12,2
22,44,9,1,2
23,21,8,13,1
20,42,7,12,1
36,30,1,6,2
38,53,7,2,2
21,36,2,14,2
18,57,12,9,2
39,53,12,7,2
29,34,3,11,2
22,20,5,4,2
16,50,6,2,2
30,64,9,13,1
28,36,5,6,2
34,54,6,7,2
18,57,12,13,1
27,46,5,13,2
31,26,12,1,2
28,34,8,8,0
38,37,10,9,2
21,76,12,13,2
40,80,1,8,2
23,33,5,6,2
18,28,1,13,2
16,55,2,8,2
27,79,9,14,2
36,62,10,7,2
33,27,6,7,2
35,67,9,9,2
39,49,6,4,2
17,22,9,1,2
15,61,11,4,2
25,47,6,10,1
32,38,1,1,2
36,49,12,3,2
32,38,2,12,2
15,50,3,1,2
29,45,11,9,2
21,73,1,4,2
36,26,9,10,2
18,22,11,14,1
31,36,2,13,2
39,64,10,3,2
35,76,3,11,2
21,42,10,4,2
30,38,3,10,2
31,29,9,9,2
17,32,12,5,2
28,78,1,7,2
38,43,11,9,2
35,44,4,12,2
25,27,6,14,1
20,44,6,10,1
17,30,8,7,2
35,80,6,9,2
38,70,2,12,2
16,23,12,9,0
17,40,3,8,2
